trending_date,views,likes,dislikes,title,key,comments_disabled,processed_features
15,[-0.30218279],[-0.27104602],[-0.12488742],6370,MltuW2kcREI,0,24
15,[-0.01023105],[0.46319521],[-0.01076155],3617,5E4ZBSInqUU,0,10
15,[-0.29137933],[-0.27584324],[-0.12065033],312,jGiqc3HSxEg,0,27
15,[-0.31109188],[-0.32021534],[-0.12557638],3365,XrDlDj9DfZs,0,24
15,[-0.26877486],[-0.25267852],[-0.12116705],2323,vU14JY3x81A,0,27
15,[0.26587681],[0.40819757],[0.10398438],4360,5qpjK5DgCt4,0,23
15,[-0.30063803],[-0.31595552],[-0.12564528],1186,Z3OZyb2iWqQ,0,24
15,[-0.31874062],[-0.32420866],[-0.12764325],449,Hq89wYzOjfs,0,27
15,[-0.31887627],[-0.32414749],[-0.12771215],5124,vZzIS17HexE,0,24
15,[-0.23326943],[-0.23394402],[-0.04458938],6194,TUmyygCMMGA,0,25
15,[-0.30158028],[-0.28874942],[-0.12027141],5786,lZ68j2J_GOM,0,23
15,[-0.31293255],[-0.32409506],[-0.12722988],6219,yZGSIpcAfEo,0,17
15,[-0.29113103],[-0.2757078],[-0.10824909],3963,zZ9FciUx6gs,0,10
15,[-0.29349591],[-0.30192212],[-0.12333727],99,zxUwbflE1SY,0,24
15,[0.02012996],[0.30823363],[-0.04992881],2542,d380meD0W0M,0,24
15,[-0.31647271],[-0.31818373],[-0.12702319],1576,7oRdswHqaf8,0,26
15,[-0.31516625],[-0.3238504],[-0.12640313],255,oTObwUiXdYY,0,25
15,[-0.30647599],[-0.32388098],[-0.12747101],5488,qC0I5PEhkJo,0,17
15,[-0.29065388],[-0.3145181],[-0.10907584],59,VifQlJit6A0,0,24
15,[-0.29082835],[-0.28517117],[-0.11786005],5747,PaJCFHXcWmM,0,10
15,[-0.31065693],[-0.32084449],[-0.12743657],2978,0zk2SwmCpss,0,17
15,[-0.31678918],[-0.32201539],[-0.12729878],5811,SGVbdo2CkgI,0,24
15,[-0.17060625],[-0.20732775],[-0.091783],222,nc99ccSXST0,0,28
15,[-0.30959107],[-0.29690645],[-0.12722988],4963,NfLVVJOuY5M,0,17
15,[-0.19271046],[-0.29950603],[-0.11014372],1231,F388-6yDDpc,0,17
15,[-0.30154511],[-0.29332819],[-0.12516301],1417,KhdecX0qjNA,0,10
15,[-0.30790214],[-0.32326931],[-0.12344061],3302,iIxy3JN3-jc,0,25
15,[-0.31466584],[-0.30567514],[-0.12685095],5759,kWIzjMWmuYk,0,23
15,[-0.2996809],[-0.30155512],[-0.12195935],3794,symdi5KSJts,0,24
15,[-0.27782366],[-0.25189646],[-0.12233828],2793,_-aDHxoblr4,0,27
15,[-0.27487871],[-0.23722518],[-0.12426736],2265,eNSN6qet1kE,0,28
15,[0.0151182],[-0.24601135],[-0.02922562],4510,39idVpFF7NQ,0,24
15,[-0.27315448],[-0.27678696],[-0.06188223],2597,U0hAC8O7RoI,0,2
15,[-0.30386996],[-0.27389901],[-0.12251052],3058,5hEJsoDP2q4,0,24
15,[-0.31636911],[-0.32411254],[-0.1253008],1425,NZFhMSgbKKM,0,17
15,[-0.30666154],[-0.32273629],[-0.12636868],2782,lBHPVE3AI6Y,0,25
15,[-0.31007484],[-0.31342147],[-0.12481853],2524,e_7zHm7GsYc,0,10
15,[-0.2815372],[-0.28804164],[-0.11699886],4564,TaTleo4cOs8,0,15
15,[-0.22560838],[-0.28477795],[-0.0794162],6101,GgVmn66oK_A,0,25
